Model,MAE,RMSE,R2
Naive 24-hour baseline,75.2437558139535,104.25823443247418,0.4300797936616979
Random Forest,57.81459433256183,78.95583081859547,0.6731400285225209
Gradient Boosting,57.381565983323895,79.43725848652777,0.6691418645806055
Linear Regression,61.6499304310887,83.69650604323549,0.6327109508451111
Decision Tree,65.05473846116585,89.8504739215514,0.5767138415217314
