Strategy,EnergyKWh,ElectricityCost,EstimatedProfit,ProfitImprovement,EstimatedRevenue,PeakLoadKW,AverageUtilizationPct
Immediate charging baseline,723.2616537370287,5459.513618446267,1773.1029189240191,0.0,7232.616537370286,22.0,4.6813052021814165
Optimized charging,723.2616537370287,5403.397291915654,1829.2192454546314,56.11632653061224,7232.616537370285,22.0,4.6813052021814165
