SessionID,UserID,ChargerID,ScheduledSlot,EnergyKWh,ElectricityCostPerKWh,CustomerPricePerKWh,EstimatedRevenue,EstimatedCost,EstimatedProfit
0,235,170,2022-09-27 13:00:00,6.765624999999999,7.0,10.0,67.65624999999999,47.35937499999999,20.296874999999996
0,235,170,2022-09-27 14:00:00,6.765624999999999,7.0,10.0,67.65624999999999,47.35937499999999,20.296874999999996
0,235,170,2022-09-27 15:00:00,6.765624999999999,7.0,10.0,67.65624999999999,47.35937499999999,20.296874999999996
0,235,170,2022-09-27 16:00:00,6.765624999999999,11.0,10.0,67.65624999999999,74.42187499999999,-6.765624999999999
0,235,170,2022-09-27 17:00:00,6.765624999999999,11.0,10.0,67.65624999999999,74.42187499999999,-6.765624999999999
0,235,170,2022-09-27 18:00:00,6.765624999999999,11.0,10.0,67.65624999999999,74.42187499999999,-6.765624999999999
0,235,170,2022-09-27 19:00:00,6.765624999999999,11.0,10.0,67.65624999999999,74.42187499999999,-6.765624999999999
1,0,23,2022-09-14 22:00:00,6.952313167259787,7.0,10.0,69.52313167259787,48.666192170818505,20.856939501779358
1,0,23,2022-09-14 23:00:00,6.952313167259787,7.0,10.0,69.52313167259787,48.666192170818505,20.856939501779358
1,0,23,2022-09-15 00:00:00,6.952313167259787,5.0,10.0,69.52313167259787,34.761565836298935,34.761565836298935
1,0,23,2022-09-15 01:00:00,6.952313167259787,5.0,10.0,69.52313167259787,34.761565836298935,34.761565836298935
1,0,23,2022-09-15 02:00:00,6.952313167259787,5.0,10.0,69.52313167259787,34.761565836298935,34.761565836298935
2,76,132,2022-07-27 13:00:00,1.9966887417218544,7.0,10.0,19.966887417218544,13.97682119205298,5.990066225165563
2,76,132,2022-07-27 14:00:00,1.9966887417218544,7.0,10.0,19.966887417218544,13.97682119205298,5.990066225165563
2,76,132,2022-07-27 15:00:00,1.9966887417218544,7.0,10.0,19.966887417218544,13.97682119205298,5.990066225165563
2,76,132,2022-07-27 16:00:00,1.9966887417218544,11.0,10.0,19.966887417218544,21.9635761589404,-1.9966887417218544
2,76,132,2022-07-27 17:00:00,1.9966887417218544,11.0,10.0,19.966887417218544,21.9635761589404,-1.9966887417218544
2,76,132,2022-07-27 18:00:00,1.9966887417218544,11.0,10.0,19.966887417218544,21.9635761589404,-1.9966887417218544
3,0,372,2022-09-13 15:00:00,6.865760869565217,7.0,10.0,68.65760869565217,48.06032608695652,20.59728260869565
3,0,372,2022-09-13 16:00:00,6.865760869565217,11.0,10.0,68.65760869565217,75.5233695652174,-6.865760869565217
3,0,372,2022-09-13 17:00:00,6.865760869565217,11.0,10.0,68.65760869565217,75.5233695652174,-6.865760869565217
3,0,372,2022-09-13 18:00:00,6.865760869565217,11.0,10.0,68.65760869565217,75.5233695652174,-6.865760869565217
3,0,372,2022-09-13 19:00:00,6.865760869565217,11.0,10.0,68.65760869565217,75.5233695652174,-6.865760869565217
3,0,372,2022-09-13 20:00:00,6.865760869565217,11.0,10.0,68.65760869565217,75.5233695652174,-6.865760869565217
3,0,372,2022-09-13 21:00:00,6.865760869565217,7.0,10.0,68.65760869565217,48.06032608695652,20.59728260869565
4,0,164,2022-09-19 11:00:00,6.639130434782608,7.0,10.0,66.39130434782608,46.473913043478255,19.917391304347824
5,0,22,2022-09-14 16:00:00,6.6141732283464565,11.0,10.0,66.14173228346456,72.75590551181102,-6.6141732283464565
5,0,22,2022-09-14 17:00:00,6.6141732283464565,11.0,10.0,66.14173228346456,72.75590551181102,-6.6141732283464565
5,0,22,2022-09-14 18:00:00,6.6141732283464565,11.0,10.0,66.14173228346456,72.75590551181102,-6.6141732283464565
6,0,172,2022-08-15 07:00:00,6.769411764705882,7.0,10.0,67.69411764705882,47.385882352941174,20.308235294117644
6,0,172,2022-08-15 08:00:00,6.769411764705882,7.0,10.0,67.69411764705882,47.385882352941174,20.308235294117644
6,0,172,2022-08-15 09:00:00,6.769411764705882,7.0,10.0,67.69411764705882,47.385882352941174,20.308235294117644
7,920,770,2022-08-03 11:00:00,21.083720930232555,7.0,10.0,210.83720930232556,147.5860465116279,63.25116279069766
8,73,1032,2022-09-07 14:00:00,5.009756097560976,7.0,10.0,50.09756097560975,35.06829268292683,15.029268292682927
8,73,1032,2022-09-07 15:00:00,5.009756097560976,7.0,10.0,50.09756097560975,35.06829268292683,15.029268292682927
8,73,1032,2022-09-07 16:00:00,5.009756097560976,11.0,10.0,50.09756097560975,55.107317073170734,-5.009756097560976
9,68,977,2022-09-29 12:00:00,22.0,7.0,10.0,220.0,154.0,66.0
10,0,187,2022-08-01 23:00:00,6.492857142857143,7.0,10.0,64.92857142857143,45.45,19.478571428571428
10,0,187,2022-08-02 00:00:00,6.492857142857143,5.0,10.0,64.92857142857143,32.464285714285715,32.464285714285715
10,0,187,2022-08-02 01:00:00,6.492857142857143,5.0,10.0,64.92857142857143,32.464285714285715,32.464285714285715
11,326,472,2022-07-28 08:00:00,22.0,7.0,10.0,220.0,154.0,66.0
11,326,472,2022-07-28 09:00:00,22.0,7.0,10.0,220.0,154.0,66.0
11,326,472,2022-07-28 10:00:00,22.0,7.0,10.0,220.0,154.0,66.0
12,103,431,2022-08-26 20:00:00,6.721428571428571,11.0,10.0,67.21428571428571,73.93571428571428,-6.721428571428571
12,103,431,2022-08-26 21:00:00,6.721428571428571,7.0,10.0,67.21428571428571,47.05,20.16428571428571
12,103,431,2022-08-26 22:00:00,6.721428571428571,7.0,10.0,67.21428571428571,47.05,20.16428571428571
12,103,431,2022-08-26 23:00:00,6.721428571428571,7.0,10.0,67.21428571428571,47.05,20.16428571428571
12,103,431,2022-08-27 00:00:00,6.721428571428571,5.0,10.0,67.21428571428571,33.607142857142854,33.607142857142854
12,103,431,2022-08-27 01:00:00,6.721428571428571,5.0,10.0,67.21428571428571,33.607142857142854,33.607142857142854
12,103,431,2022-08-27 02:00:00,6.721428571428571,5.0,10.0,67.21428571428571,33.607142857142854,33.607142857142854
13,38,783,2022-07-22 01:00:00,1.0,5.0,10.0,10.0,5.0,5.0
13,38,783,2022-07-22 02:00:00,1.0,5.0,10.0,10.0,5.0,5.0
13,38,783,2022-07-22 03:00:00,1.0,5.0,10.0,10.0,5.0,5.0
13,38,783,2022-07-22 04:00:00,1.0,5.0,10.0,10.0,5.0,5.0
13,38,783,2022-07-22 05:00:00,1.0,5.0,10.0,10.0,5.0,5.0
14,0,25,2022-07-24 18:00:00,6.8108108108108105,11.0,10.0,68.1081081081081,74.91891891891892,-6.8108108108108105
15,556,573,2022-09-25 10:00:00,6.121126760563381,7.0,10.0,61.21126760563381,42.84788732394367,18.36338028169014
